"Firma","Ansprechpartner_GF","Telefon","Strasse","PLZ","Ort","Branche","MA_Groesse","Quelle","Quelle_Detail","Recherchedatum","Website","Umsatz_EUR","Gewinn_EUR","Anlagevermoegen_EUR","Finanz_Jahr","Finanz_Quelle"
"D.A.T.A. Corporation Softwareentwicklungs GmbH","Moritz Kogler, Sebastian Rainer","","Invalidenstraße 5-7/Top 10","1030","Wien","Individualsoftware für Radiologie (Medizinsoftware)","","Recherche","WKO/Northdata","2026-08-30","data.at","","","","",""
"COREX EDV-Dienstleistungen GmbH","Martin Hiltmann","","Fernkorngasse 10","1100","Wien","IT-Systemhaus / EDV-Dienstleistungen","","Recherche","WKO/Northdata/firmenabc.at","2026-08-30","https://www.corex.at","","","","",""
"CURA EDV-Service GmbH","Christoph Ferstl","","Gumpendorfer Straße 26","1060","Wien","IT-Consulting / Netzwerktechnik & Datensicherheit","","Recherche","WKO/Firmenbuch (evi.gv.at)/firmenabc.at","2026-08-30","https://www.cura.at","","","","",""
"Net Informationstechnologie GmbH","Walter Baranyai","","Anton-Baumgartner-Straße 125/1/2/1","1230","Wien","IT-Infrastruktur / Informationstechnologie","","Recherche","WKO/Northdata/firmenabc.at","2026-08-30","","","","","",""
"IT United GmbH","Mauro Massimo Caprioli / Christoph Wiesnagrotzki","+43 1 2266 2266","Erndtgasse 9-11","1180","Wien","IT-Support / Netzwerktechnik / IT-Consulting","","Recherche","WKO/Firmenbuch/firmenabc.at","2026-08-30","https://www.it-united.at","","","","",""
"HUSEIN EDV Dienstleistungs GmbH","Shenol Husein","+43 676 7334553","Mariahilfer Straße 84/30","1070","Wien","IT-Dienstleistungen / EDV","","Recherche","WKO/herold.at","2026-08-30","","","","","",""
"EPC-Computerservice GmbH","Egmont Gerhard Perthel","+43 650 8416171","Anzengrubergasse 16/37","1050","Wien","Computerservice / IT-Support","","Recherche","WKO/herold.at/firmenabc.at","2026-08-30","https://www.epc-computerservice.at","","","","",""
"NERA Computersysteme GmbH","Nenad Radakovic / Daniel Radakovic","","Baslergasse 12/15","1230","Wien","IT-Netzwerklösungen / Netzwerkbetreuung","","Recherche","WKO/Northdata/herold.at","2026-08-30","https://nera.at","","","","",""
"2beWIRED GmbH","Georg Lechner / Markus Hofer","+43 1 3451426","Karl-Beck-Gasse 3A/29","1220","Wien","IT & EDV-Dienstleister / IT-Support Outsourcing","","Recherche","WKO/Northdata/Firmenwebsite","2026-08-30","https://2bewired.at","","","","",""
"EDV-N Technology GmbH","Werner Lugschitz / Thomas Hammer","","Kolbegasse 69","1230","Wien","IT-Dienstleistungen / Informationstechnologie","","Recherche","WKO/Northdata/herold.at","2026-08-30","https://edv-n.com","","","","",""
"Datenträger EDV GmbH","Heimo Günther","","Lehrbachgasse 4","1120","Wien","IT-Dienstleistungen / Datensicherung & EDV","","Recherche","WKO/herold.at","2026-08-30","https://www.datentraeger.at","","","","",""
"Elektronische Datenverarbeitung GmbH","Claudia Badstöber / Friedrich Eitler","","Walfischgasse 5","1010","Wien","IT-Dienstleistungen / Softwareentwicklung & Hardware-Beratung","","Recherche","WKO/Northdata/Firmenbuch","2026-08-30","","","","","",""
"PULKER SOFT EDV-Dienstleistungs GmbH","Hans Peter Pulker","+43 1 4702002","Blaselgasse 6","1180","Wien","EDV-Dienstleistungen / Rechenzentrum & PC-Netzwerkbetreuung","","Recherche","WKO/Firmenbuch/herold.at","2026-08-30","","","","","",""
"IT Operations & Consulting GmbH (ITOC)","Martin Hurka","+43 1 71448 60","Kolpingstraße 4","1230","Wien","IT-Infrastruktur / Netzwerke / IT-Operations Consulting","","Recherche","WKO/Firmenbuch/Firmenwebsite","2026-08-30","https://www.itoc.at","","","","",""
"Web Engineering GmbH","Karl-Heinz Welsch","","Lammgasse 2/17","1080","Wien","IT-Dienstleistungen / Webdesign-Beratung","","Recherche","WKO/Firmenbuch","2026-08-30","https://webengineering.at","","","","",""
"DVIK webdesign GmbH","Inna Kniazhitsyna","","Volkertstraße 2-4/1/10","1020","Wien","Webdesign / Online Marketing","","Recherche","WKO/Northdata","2026-08-30","","","","","",""
"webagentur.at internet services GmbH","Thomas Josef Dolezal","","Anastasius-Grün-Gasse 14","1180","Wien","Webagentur / IT-Dienstleistung","","Recherche","WKO/Firmenbuch","2026-08-30","https://webagentur.at","","","","",""
"SBD IT Consulting GmbH","Wolfgang Ziegler, MSc MBA","+43 1 9616686","Engerthstraße 257/4/46","1020","Wien","IT-Consulting / Schulung & Datenbanken","","Recherche","WKO/Firmenbuch/Northdata","2026-08-30","https://sbd.at","","","","",""
"iT-Knowledge GmbH","Ing. Michael Zenger","+43 1 23 66 667-0","Absberggasse 27/7/7.16","1100","Wien","IT-Consulting / IT-Dienstleistungen","ca. 10","Recherche","WKO/Firmenbuch","2026-08-30","","","","","",""
"Blue Monkeys GmbH","Moritz Miedler, Christoph Tockner","","Stella-Klein-Löw-Weg 11","1020","Wien","Digitalagentur / Mediendienstleistungen","","Recherche","WKO/Firmenbuch","2026-08-30","","","","","",""
"nolock Softwarelösungen GmbH","Phillip Egger, Clemens Geistler","+43 1 5851006","Strobachgasse 6","1050","Wien","Softwareentwicklung (Ticketing-Software)","","Recherche","WKO/Firmenbuch/Northdata","2026-08-30","https://www.nolock.at","","","","",""
"BLACKDOT GmbH","Sascha Kurt Andrä Wostry, MA","","Servitengasse 5/16","1090","Wien","Unternehmensberatung & Digitalagentur","","Recherche","WKO/Firmenbuch/Northdata","2026-08-30","https://www.blackdot.at","","","","",""
"WH Digital Services GmbH","Klaus Fischer, Malgorzata Kawka","","Reichsratsstraße 11","1010","Wien","IT-Dienstleistungen / Digitalagentur","","Recherche","WKO/Firmenbuch","2026-08-30","https://wh-d.at","","","","",""
"NIC-Solutions Informationstechnologie GmbH","Ing. Horst Wagner","+43 1 485 82 41","","1160","Wien","IT-Dienstleistungen","","Recherche","WKO/Firmenwebsite","2026-08-30","https://nic-solutions.at","","","","",""
"DC1 Digital Consulting Group GmbH","Michael Bendl","","Hasnerstraße 123/4.OG","1160","Wien","IT-Consulting / Digital Workplace","","Recherche","WKO/Firmenbuch/Presse","2026-08-30","","","","","",""
"Mykorisa Digital Consulting GmbH","Ludger Stefan Stienemeier","","Seitenstettengasse 5/37","1010","Wien","Digitalisierungsberatung","","Recherche","WKO/Firmenbuch","2026-08-30","","","","","",""
"ACDBS Cybersecurity GmbH","Martin Pfundner","","Hawelgasse 22a/9","1180","Wien","IT-Security Dienstleistungen / Cyber Security","","Recherche","Firmenabc/Northdata","2026-08-30","","","","","",""
